(index):252 changePosTimer tick:53:37:581
(index):252 changePosTimer tick:53:37:680
(index):252 changePosTimer tick:53:37:780
(index):252 changePosTimer tick:53:37:880
(index):252 changePosTimer tick:53:37:980
(index):252 changePosTimer tick:53:38:82
(index):252 changePosTimer tick:53:38:180
(index):252 changePosTimer tick:53:38:280
(index):252 changePosTimer tick:53:38:380
(index):252 changePosTimer tick:53:38:480
(index):252 changePosTimer tick:53:38:580
(index):252 changePosTimer tick:53:38:680
(index):252 changePosTimer tick:53:38:780
(index):252 changePosTimer tick:53:38:881
(index):252 changePosTimer tick:53:38:980
(index):252 changePosTimer tick:53:39:80
(index):326 2--adjustRotateTimer ontick:53:39:81:-29.73
(index):252 changePosTimer tick:53:39:180
(index):252 changePosTimer tick:53:39:280
(index):252 changePosTimer tick:53:39:380
(index):252 changePosTimer tick:53:39:482
(index):252 changePosTimer tick:53:39:581
(index):252 changePosTimer tick:53:39:681
(index):252 changePosTimer tick:53:39:780
(index):252 changePosTimer tick:53:39:882
(index):252 changePosTimer tick:53:39:980
(index):252 changePosTimer tick:53:40:80
(index):286 4--rotateTimer ontick:53:40:80:0.00
(index):252 changePosTimer tick:53:40:180
(index):252 changePosTimer tick:53:40:281
(index):252 changePosTimer tick:53:40:380
(index):252 changePosTimer tick:53:40:480
(index):252 changePosTimer tick:53:40:580
(index):252 changePosTimer tick:53:40:680
(index):252 changePosTimer tick:53:40:780
(index):252 changePosTimer tick:53:40:880
(index):252 changePosTimer tick:53:40:980
(index):252 changePosTimer tick:53:41:80
(index):252 changePosTimer tick:53:41:180
(index):252 changePosTimer tick:53:41:280
(index):252 changePosTimer tick:53:41:380
(index):252 changePosTimer tick:53:41:480
(index):252 changePosTimer tick:53:41:580
(index):252 changePosTimer tick:53:41:680
(index):252 changePosTimer tick:53:41:780
(index):252 changePosTimer tick:53:41:880
(index):252 changePosTimer tick:53:41:980
(index):252 changePosTimer tick:53:42:80
(index):252 changePosTimer tick:53:42:180
(index):252 changePosTimer tick:53:42:280
(index):252 changePosTimer tick:53:42:380
(index):252 changePosTimer tick:53:42:480
(index):252 changePosTimer tick:53:42:580
(index):252 changePosTimer tick:53:42:680
(index):252 changePosTimer tick:53:42:780
(index):252 changePosTimer tick:53:42:880
(index):252 changePosTimer tick:53:42:980
(index):252 changePosTimer tick:53:43:80
(index):252 changePosTimer tick:53:43:180
(index):252 changePosTimer tick:53:43:280
(index):252 changePosTimer tick:53:43:380
(index):252 changePosTimer tick:53:43:480
(index):252 changePosTimer tick:53:43:580
(index):252 changePosTimer tick:53:43:680
(index):252 changePosTimer tick:53:43:780
(index):252 changePosTimer tick:53:43:880
(index):252 changePosTimer tick:53:43:980
(index):252 changePosTimer tick:53:44:80
(index):252 changePosTimer tick:53:44:180
(index):252 changePosTimer tick:53:44:280
(index):252 changePosTimer tick:53:44:380
(index):252 changePosTimer tick:53:44:480
(index):252 changePosTimer tick:53:44:580
(index):252 changePosTimer tick:53:44:680
(index):252 changePosTimer tick:53:44:780
(index):252 changePosTimer tick:53:44:880
(index):252 changePosTimer tick:53:44:980
(index):252 changePosTimer tick:53:45:80
(index):326 3--adjustRotateTimer ontick:53:45:80:0
(index):252 changePosTimer tick:53:45:180
(index):252 changePosTimer tick:53:45:280
(index):252 changePosTimer tick:53:45:380
(index):252 changePosTimer tick:53:45:480
(index):252 changePosTimer tick:53:45:580
(index):252 changePosTimer tick:53:45:680
(index):252 changePosTimer tick:53:45:780
(index):252 changePosTimer tick:53:45:880
(index):252 changePosTimer tick:53:45:980
(index):252 changePosTimer tick:53:46:80
(index):286 5--rotateTimer ontick:53:46:81:68.36
(index):252 changePosTimer tick:53:46:180
(index):252 changePosTimer tick:53:46:280
(index):252 changePosTimer tick:53:46:380
(index):252 changePosTimer tick:53:46:480
(index):252 changePosTimer tick:53:46:580
(index):252 changePosTimer tick:53:46:680
(index):252 changePosTimer tick:53:46:780
(index):252 changePosTimer tick:53:46:880
(index):252 changePosTimer tick:53:46:980
(index):252 changePosTimer tick:53:47:80
(index):252 changePosTimer tick:53:47:180
(index):252 changePosTimer tick:53:47:280
(index):252 changePosTimer tick:53:47:380
(index):252 changePosTimer tick:53:47:480
(index):252 changePosTimer tick:53:47:580
(index):252 changePosTimer tick:53:47:680
(index):252 changePosTimer tick:53:47:780
(index):252 changePosTimer tick:53:47:880
(index):252 changePosTimer tick:53:47:980
(index):252 changePosTimer tick:53:48:80
(index):252 changePosTimer tick:53:48:180
(index):252 changePosTimer tick:53:48:280
(index):252 changePosTimer tick:53:48:380
(index):252 changePosTimer tick:53:48:480
(index):252 changePosTimer tick:53:48:580
(index):252 changePosTimer tick:53:48:680
(index):252 changePosTimer tick:53:48:780
(index):252 changePosTimer tick:53:48:880
(index):252 changePosTimer tick:53:48:980
(index):252 changePosTimer tick:53:49:80
(index):252 changePosTimer tick:53:49:180
(index):252 changePosTimer tick:53:49:280
(index):252 changePosTimer tick:53:49:380
(index):252 changePosTimer tick:53:49:480
(index):252 changePosTimer tick:53:49:580
(index):252 changePosTimer tick:53:49:680
(index):252 changePosTimer tick:53:49:780
(index):252 changePosTimer tick:53:49:880
(index):252 changePosTimer tick:53:49:980
(index):252 changePosTimer tick:53:50:80
(index):252 changePosTimer tick:53:50:180
(index):252 changePosTimer tick:53:50:280
(index):252 changePosTimer tick:53:50:380
(index):252 changePosTimer tick:53:50:480
(index):252 changePosTimer tick:53:50:580
(index):252 changePosTimer tick:53:50:680
(index):252 changePosTimer tick:53:50:780
(index):252 changePosTimer tick:53:50:880
(index):252 changePosTimer tick:53:50:980
(index):252 changePosTimer tick:53:51:80
(index):326 4--adjustRotateTimer ontick:53:51:81:-68.36
(index):252 changePosTimer tick:53:51:180
(index):252 changePosTimer tick:53:51:280
(index):252 changePosTimer tick:53:51:380
(index):252 changePosTimer tick:53:51:480
(index):252 changePosTimer tick:53:51:580
(index):252 changePosTimer tick:53:51:680
(index):252 changePosTimer tick:53:51:780
(index):252 changePosTimer tick:53:51:880
(index):252 changePosTimer tick:53:51:980
(index):252 changePosTimer tick:53:52:80
(index):286 6--rotateTimer ontick:53:52:81:-185.47
